CellId,Nuclear Volume [fL],Cellular Volume [fL],Nuclear Surface Area [um^2],Cellular Surface Area [um^2],Radial Proximity [unitless],Apical Proximity [unitless]
146423,823.323862,2975.531167,462.55,1480.5805,0.695672900464614,0.222791997870078
146424,676.477693,2159.987396,399.7273,1063.7809,0.686564521806947,0.172624346292794
146425,885.759702,2562.820509,460.7839,1250.1465,0.676799143969938,0.174403180101429
146426,836.323199,2833.123796,455.3174,1236.8587,0.65365109112041,0.122337784115585
146429,535.997053,1741.813602,344.3895,946.5455,0.645068481542902,0.0830655268839251
146430,843.444787,3085.574335,474.1558,1410.2729,0.732543209257046,0.192005493981296
146433,695.57428,1696.084227,431.2648,961.3471,0.289617274485063,0.0191085158473057
146435,783.472236,1674.621907,445.1413,899.1131,0.229074682192564,-0.111926860345033
146440,730.035937,2259.762795,445.5618,1163.5235,0.623605187737387,0.278009262054435
146443,400.95516,1595.113767,260.2054,837.2996,0.641948910800017,0.107047589904707
146447,637.430904,2014.458233,407.8009,1184.2121,0.61774619762577,0.151092090365678
146452,319.422733,1324.712924,205.9609,650.5976,0.79643736786219,0.293933910334989
146458,801.203039,2453.679734,441.0204,1318.0152,0.62280993566191,0.272522734304476
146460,681.477438,2292.224554,392.4947,1234.588,0.696818850394195,0.219957308529472
146462,458.805868,1542.238415,276.9413,897.7675,0.618571111323011,0.227808643440524
146465,923.050483,2608.988886,483.9114,1408.8432,0.374139611249239,0.284372487212903
146484,1046.361267,4023.014328,489.6302,1709.3325,0.691789818964706,0.299745063046334
146485,568.410034,1955.680743,308.647,980.6901,0.660207361320134,0.146382017019474
146489,746.327789,2376.439771,379.8797,1149.647,0.600778847438786,-0.0773560147874548
146491,585.701835,1770.909679,347.9217,1091.0293,0.366000914397262,-0.0540306466247352
146492,907.246411,2756.127723,447.9166,1312.0441,0.461056670768833,-0.0807833832048717
146495,456.464524,1503.58185,255.664,774.2246,0.742783526484573,-0.084754078859569
146496,707.866336,2349.709427,363.4802,1148.3855,0.641406580677994,0.097876754362235
146498,629.675202,1984.801209,388.0374,1228.6169,0.563674754902805,0.0137379807138167
146499,531.607033,1891.537673,331.6063,1086.572,0.594499035266465,-0.0618317484712357
146500,1036.264221,3685.958348,495.8536,1556.0182,0.614442208124856,-0.118049170990769
146502,507.925314,1758.251788,286.1923,937.4627,0.659204806223459,0.178830263670842
146503,522.192879,1773.933915,306.6286,1003.7335,0.68844335949867,-0.178183074572308
146506,762.351362,2447.265427,401.6616,1180.5117,0.594060217029568,0.0442205369093549
146508,538.679843,1430.780685,300.9098,796.6793,0.42420841496596,0.0789748850869616
146512,640.162472,2176.108525,324.5419,973.037,0.622472289654897,-0.0434704751554572
146514,716.402486,2345.831576,367.0124,1107.7652,0.62068675196203,-0.0685615728810548
146515,559.703161,1989.508286,314.3658,987.0817,0.616299157555183,0.217407220443727
146518,843.420398,2797.345133,424.5368,1360.1493,0.611787121432823,-0.22480569116628
146525,581.18987,1807.785847,367.6011,1202.3777,0.592351408337323,0.211381303745324
146526,678.697092,1938.730388,369.3672,1023.3288,0.617364063055905,0.157428259340233
146530,691.42815,1743.886667,377.7772,896.5901,0.485717449317859,0.115296951354644
146533,594.774543,2010.068213,360.5367,1086.4038,0.637311659784428,-0.0990801275023775
146535,377.78561,1481.802473,240.526,816.8633,0.717132981703639,-0.131653988508181
146544,758.619845,2138.476298,440.0953,1126.5195,0.516219278810932,-0.256444512071537
